,Model,Use context,Task,Instance,Task weight,RCRPS,RCRPS variance,RCRPS scaling,CRPS,CRPS RoI,CRPS non RoI,CRPS constraint violations
76,Direct Prompt - GPT-4o,True,ExplicitDirectNormalIrradianceFromCloudStatus,2,1/4,0.11493721249729866,7.640949879764393e-06,0.0013892747985551543,0.11493721249729866,0.11493721249729866,0.11493721249729866,0.0
77,Direct Prompt - GPT-4o,True,ExplicitDirectNormalIrradianceFromCloudStatus,3,1/4,0.0981271803896144,8.111729494112132e-07,0.0013892747985551543,0.0981271803896144,0.0981271803896144,0.0981271803896144,0.0
78,Direct Prompt - GPT-4o,True,ExplicitDirectNormalIrradianceFromCloudStatus,4,1/4,0.1715845064987188,0.00017540192752788097,0.0013892747985551543,0.1715845064987188,0.1715845064987188,0.1715845064987188,0.0
79,Direct Prompt - GPT-4o,True,ExplicitDirectNormalIrradianceFromCloudStatus,5,1/4,0.15367598252601034,0.0005983602304351507,0.0013892747985551543,0.15367598252601034,0.15367598252601034,0.15367598252601034,0.0
80,Direct Prompt - GPT-4o,True,ExplicitPressureFromSpeedTask,1,1/2,0.2394798838105094,0.0036955490347510816,0.14610537850424618,0.2394798838105094,0.2394798838105094,0.2394798838105094,0.0
81,Direct Prompt - GPT-4o,True,ExplicitPressureFromSpeedTask,2,1/2,0.4687629057100847,0.02041759972628765,0.14610537850424618,0.4686426853344721,0.4686426853344721,0.4686426853344721,0.00012022037561257781
82,Direct Prompt - GPT-4o,True,ExplicitPressureFromSpeedTask,3,1/2,1.0505518747758948,0.028173025344758865,0.14610537850424618,1.0505518747758948,1.0505518747758948,1.0505518747758948,0.0
83,Direct Prompt - GPT-4o,True,ExplicitPressureFromSpeedTask,4,1/2,1.7108060967912322,0.008068936429294961,0.14610537850424618,1.7108060967912322,1.7108060967912322,1.7108060967912322,0.0
84,Direct Prompt - GPT-4o,True,ExplicitPressureFromSpeedTask,5,1/2,0.6191102398434164,0.005260537816759561,0.14610537850424618,0.6191102398434164,0.6191102398434164,0.6191102398434164,0.0
85,Direct Prompt - GPT-4o,True,ExplicitSimilarLocationDaySolarForecastTask,1,1/3,1.5343396585046356,0.13515473150983162,0.047321991518940544,1.5343396585046356,1.5343396585046356,1.5343396585046356,0.0
86,Direct Prompt - GPT-4o,True,ExplicitSimilarLocationDaySolarForecastTask,2,1/3,1.0685727785875212,0.08491384758561521,0.047321991518940544,1.0685727785875212,1.0685727785875212,1.0685727785875212,0.0
87,Direct Prompt - GPT-4o,True,ExplicitSimilarLocationDaySolarForecastTask,3,1/3,1.6943594692719133,0.0799075835675238,0.047321991518940544,1.6943594692719133,1.6943594692719133,1.6943594692719133,0.0
88,Direct Prompt - GPT-4o,True,ExplicitSimilarLocationDaySolarForecastTask,4,1/3,0.7714332981261942,0.028353130122615026,0.047321991518940544,0.7714332981261942,0.7714332981261942,0.7714332981261942,0.0
89,Direct Prompt - GPT-4o,True,ExplicitSimilarLocationDaySolarForecastTask,5,1/3,1.801070671771792,0.20312813079702763,0.047321991518940544,1.801070671771792,1.801070671771792,1.801070671771792,0.0
90,Direct Prompt - GPT-4o,True,ExplicitTrafficForecastTaskwithHolidaysInPredictionWindow,1,1/4,0.3002995698484227,0.0005791472648888849,0.10241704219582139,0.32110255739147586,0.23789060721926342,0.36270853247758206,0.0
91,Direct Prompt - GPT-4o,True,ExplicitTrafficForecastTaskwithHolidaysInPredictionWindow,2,1/4,0.02203957849697301,1.0230550243252318e-06,0.10241704219582139,0.017913025171833047,0.03441923847239291,0.00965991852155311,0.0
92,Direct Prompt - GPT-4o,True,ExplicitTrafficForecastTaskwithHolidaysInPredictionWindow,3,1/4,0.050272898743684284,7.252424714673443e-06,0.10241704219582139,0.05811882652828987,0.026735115389867534,0.07381068209750102,0.0
93,Direct Prompt - GPT-4o,True,ExplicitTrafficForecastTaskwithHolidaysInPredictionWindow,4,1/4,0.07923060619509309,1.4312533460360217e-05,0.10241704219582139,0.07324430637109867,0.09718950566707635,0.06127170672310984,0.0
94,Direct Prompt - GPT-4o,True,ExplicitTrafficForecastTaskwithHolidaysInPredictionWindow,5,1/4,0.04359480973189495,2.099758480515025e-06,0.10241704219582139,0.05197285569059433,0.018460671855796817,0.06872894760799309,0.0
95,Direct Prompt - GPT-4o,True,ExplicitWithDatesAndDaysTrafficForecastTaskwithHolidaysInPredictionWindow,1,1/4,0.2980076329145614,0.00027390715602680686,0.10241704219582139,0.2810015438420804,0.34902590013200413,0.24698936569711863,0.0
96,Direct Prompt - GPT-4o,True,ExplicitWithDatesAndDaysTrafficForecastTaskwithHolidaysInPredictionWindow,2,1/4,0.02407209448541127,1.8269467998168945e-06,0.10241704219582139,0.019648662129971017,0.03734239155173199,0.010801797419090542,0.0
97,Direct Prompt - GPT-4o,True,ExplicitWithDatesAndDaysTrafficForecastTaskwithHolidaysInPredictionWindow,3,1/4,0.06273968432791661,1.164014302740779e-05,0.10241704219582139,0.06717751907991566,0.04942618007191953,0.07605318858391372,0.0
98,Direct Prompt - GPT-4o,True,ExplicitWithDatesAndDaysTrafficForecastTaskwithHolidaysInPredictionWindow,4,1/4,0.08689268116436796,3.6959901626453805e-05,0.10241704219582139,0.08285538713641952,0.09900456324821336,0.07478079908052257,0.0
99,Direct Prompt - GPT-4o,True,ExplicitWithDatesAndDaysTrafficForecastTaskwithHolidaysInPredictionWindow,5,1/4,0.05223482520824799,3.334435421137859e-06,0.10241704219582139,0.05905433034427299,0.03177630980017297,0.072693340616323,0.0
100,Direct Prompt - GPT-4o,True,ExplicitWithDaysTrafficForecastTaskwithHolidaysInPredictionWindow,1,1/4,0.23743044175884198,0.0002324454309000194,0.10241704219582139,0.2447772050009863,0.21539015203240927,0.2594707314852747,0.0
101,Direct Prompt - GPT-4o,True,ExplicitWithDaysTrafficForecastTaskwithHolidaysInPredictionWindow,2,1/4,0.02330983431198507,6.025992023583766e-07,0.10241704219582139,0.019495747796136977,0.03475209385952934,0.011867574764440805,0.0
102,Direct Prompt - GPT-4o,True,ExplicitWithDaysTrafficForecastTaskwithHolidaysInPredictionWindow,3,1/4,0.05800538542946881,9.14198529114948e-06,0.10241704219582139,0.06522353467765186,0.036350937684919676,0.07965983317401794,0.0
103,Direct Prompt - GPT-4o,True,ExplicitWithDaysTrafficForecastTaskwithHolidaysInPredictionWindow,4,1/4,0.08483829487004416,2.6871675145939983e-05,0.10241704219582139,0.08307681657487065,0.09012272975556465,0.07955385998452365,0.0
